anchor;x;y;distance;distance_cm;channel;rssi
s2;1;1;12.72792206;1273;0;-59.73684211
s2;1;1;12.72792206;1273;1;-56.38518519
s2;1;1;12.72792206;1273;2;-56.01980198
s2;1;1;12.72792206;1273;3;-55.04672897
s2;1;1;12.72792206;1273;4;-54.98305085
s2;1;1;12.72792206;1273;5;-55.98989899
s2;1;1;12.72792206;1273;6;-56.98461538
s2;1;1;12.72792206;1273;7;-57.140625
s2;1;1;12.72792206;1273;8;-59.33333333
s2;1;1;12.72792206;1273;9;-57.90990991
s2;1;1;12.72792206;1273;10;-56.92035398
s2;1;1;12.72792206;1273;11;-56.62601626
s2;1;1;12.72792206;1273;12;-57.68965517
s2;1;1;12.72792206;1273;13;-59.82945736
s2;1;1;12.72792206;1273;14;-60.24489796
s2;1;1;12.72792206;1273;15;-60.78448276
s2;1;1;12.72792206;1273;16;-60.03007519
s2;1;1;12.72792206;1273;17;-60.26890756
s2;1;1;12.72792206;1273;18;-59.80833333
s2;1;1;12.72792206;1273;19;-62.66666667
s2;1;1;12.72792206;1273;20;-73.96969697
s2;1;1;12.72792206;1273;21;-67.46017699
s2;1;1;12.72792206;1273;22;-62.96969697
s2;1;1;12.72792206;1273;23;-60.01694915
s2;1;1;12.72792206;1273;24;-62.47368421
s2;1;1;12.72792206;1273;25;-61.94871795
s2;1;1;12.72792206;1273;26;-64.81967213
s2;1;1;12.72792206;1273;27;-69.43877551
s2;1;1;12.72792206;1273;28;-73.91071429
s2;1;1;12.72792206;1273;29;-74.45652174
s2;1;1;12.72792206;1273;30;-64.3
s2;1;1;12.72792206;1273;31;-60.3271028
s2;1;1;12.72792206;1273;32;-60.04545455
s2;1;1;12.72792206;1273;33;-59.98319328
s2;1;1;12.72792206;1273;34;-59.96330275
s2;1;1;12.72792206;1273;35;-59.45299145
s2;1;1;12.72792206;1273;36;-57.16964286
s2;1;1;12.72792206;1273;37;-62.3908046
s2;1;1;12.72792206;1273;38;-55
s2;1;1;12.72792206;1273;39;-56.93865031
s2;2;2;11.3137085;1131;0;-53.19
s2;2;2;11.3137085;1131;1;-54.47058824
s2;2;2;11.3137085;1131;2;-53.22988506
s2;2;2;11.3137085;1131;3;-54.3373494
s2;2;2;11.3137085;1131;4;-54.94382022
s2;2;2;11.3137085;1131;5;-53.78217822
s2;2;2;11.3137085;1131;6;-51.95505618
s2;2;2;11.3137085;1131;7;-51.89772727
s2;2;2;11.3137085;1131;8;-53.71578947
s2;2;2;11.3137085;1131;9;-54.02298851
s2;2;2;11.3137085;1131;10;-54.73170732
s2;2;2;11.3137085;1131;11;-51.97247706
s2;2;2;11.3137085;1131;12;-53.57831325
s2;2;2;11.3137085;1131;13;-54.70707071
s2;2;2;11.3137085;1131;14;-57.875
s2;2;2;11.3137085;1131;15;-57.26136364
s2;2;2;11.3137085;1131;16;-58.14772727
s2;2;2;11.3137085;1131;17;-60.56179775
s2;2;2;11.3137085;1131;18;-62.86363636
s2;2;2;11.3137085;1131;19;-64.71428571
s2;2;2;11.3137085;1131;20;-68.04854369
s2;2;2;11.3137085;1131;21;-72.68571429
s2;2;2;11.3137085;1131;22;-73.94791667
s2;2;2;11.3137085;1131;23;-74.60747664
s2;2;2;11.3137085;1131;24;-71.82828283
s2;2;2;11.3137085;1131;25;-73.04054054
s2;2;2;11.3137085;1131;26;-64.38961039
s2;2;2;11.3137085;1131;27;-60.25301205
s2;2;2;11.3137085;1131;28;-60.76237624
s2;2;2;11.3137085;1131;29;-62.08433735
s2;2;2;11.3137085;1131;30;-61.36363636
s2;2;2;11.3137085;1131;31;-58.62650602
s2;2;2;11.3137085;1131;32;-58.75247525
s2;2;2;11.3137085;1131;33;-56.94520548
s2;2;2;11.3137085;1131;34;-55.31111111
s2;2;2;11.3137085;1131;35;-54.34482759
s2;2;2;11.3137085;1131;36;-54.3258427
s2;2;2;11.3137085;1131;37;-52.59055118
s2;2;2;11.3137085;1131;38;-52.07352941
s2;2;2;11.3137085;1131;39;-54.97674419
s2;2.333452;2.333452;10.84213562;1084;0;-63.56074766
s2;2.333452;2.333452;10.84213562;1084;1;-59.93220339
s2;2.333452;2.333452;10.84213562;1084;2;-59.31067961
s2;2.333452;2.333452;10.84213562;1084;3;-59.72972973
s2;2.333452;2.333452;10.84213562;1084;4;-58.2962963
s2;2.333452;2.333452;10.84213562;1084;5;-55.58536585
s2;2.333452;2.333452;10.84213562;1084;6;-57.41525424
s2;2.333452;2.333452;10.84213562;1084;7;-58.80172414
s2;2.333452;2.333452;10.84213562;1084;8;-58.85454545
s2;2.333452;2.333452;10.84213562;1084;9;-57.61417323
s2;2.333452;2.333452;10.84213562;1084;10;-56.42477876
s2;2.333452;2.333452;10.84213562;1084;11;-54.82258065
s2;2.333452;2.333452;10.84213562;1084;12;-56
s2;2.333452;2.333452;10.84213562;1084;13;-54.86238532
s2;2.333452;2.333452;10.84213562;1084;14;-58.20634921
s2;2.333452;2.333452;10.84213562;1084;15;-60.5
s2;2.333452;2.333452;10.84213562;1084;16;-68.27559055
s2;2.333452;2.333452;10.84213562;1084;17;-66.21276596
s2;2.333452;2.333452;10.84213562;1084;18;-61.07692308
s2;2.333452;2.333452;10.84213562;1084;19;-56.64545455
s2;2.333452;2.333452;10.84213562;1084;20;-54.31896552
s2;2.333452;2.333452;10.84213562;1084;21;-52.52727273
s2;2.333452;2.333452;10.84213562;1084;22;-53.26732673
s2;2.333452;2.333452;10.84213562;1084;23;-53.61682243
s2;2.333452;2.333452;10.84213562;1084;24;-52.8559322
s2;2.333452;2.333452;10.84213562;1084;25;-52.00970874
s2;2.333452;2.333452;10.84213562;1084;26;-52.8317757
s2;2.333452;2.333452;10.84213562;1084;27;-53.41904762
s2;2.333452;2.333452;10.84213562;1084;28;-54.21428571
s2;2.333452;2.333452;10.84213562;1084;29;-51.78873239
s2;2.333452;2.333452;10.84213562;1084;30;-49.83486239
s2;2.333452;2.333452;10.84213562;1084;31;-49.86725664
s2;2.333452;2.333452;10.84213562;1084;32;-49.24752475
