anchor;x;y;distance;distance_cm;channel;rssi
s3;1;2;8.062257748;806;0;-70.9795918367347
s3;1;2;8.062257748;806;1;-67.9890109890109
s3;1;2;8.062257748;806;2;-69.0909090909091
s3;1;2;8.062257748;806;3;-69.7857142857142
s3;1;2;8.062257748;806;4;-65.9468085106382
s3;1;2;8.062257748;806;5;-64.5764705882353
s3;1;2;8.062257748;806;6;-67.6122448979591
s3;1;2;8.062257748;806;7;-67.4105263157894
s3;1;2;8.062257748;806;8;-66.8484848484848
s3;1;2;8.062257748;806;9;-64.0654205607476
s3;1;2;8.062257748;806;10;-61.9895833333333
s3;1;2;8.062257748;806;11;-61.0941176470588
s3;1;2;8.062257748;806;12;-59.4466019417475
s3;1;2;8.062257748;806;13;-56.7553191489361
s3;1;2;8.062257748;806;14;-57.0263157894736
s3;1;2;8.062257748;806;15;-56.5729166666666
s3;1;2;8.062257748;806;16;-56.3425925925925
s3;1;2;8.062257748;806;17;-57.1553398058252
s3;1;2;8.062257748;806;18;-58.060606060606
s3;1;2;8.062257748;806;19;-57.9459459459459
s3;1;2;8.062257748;806;20;-57.8318584070796
s3;1;2;8.062257748;806;21;-57.8508771929824
s3;1;2;8.062257748;806;22;-56.8421052631579
s3;1;2;8.062257748;806;23;-56.7303370786516
s3;1;2;8.062257748;806;24;-59.0865384615384
s3;1;2;8.062257748;806;25;-57.3301886792452
s3;1;2;8.062257748;806;26;-56.0531914893617
s3;1;2;8.062257748;806;27;-55.1235955056179
s3;1;2;8.062257748;806;28;-57.0108695652173
s3;1;2;8.062257748;806;29;-58.1313131313131
s3;1;2;8.062257748;806;30;-60.6868686868686
s3;1;2;8.062257748;806;31;-64.5714285714285
s3;1;2;8.062257748;806;32;-67.8857142857142
s3;1;2;8.062257748;806;33;-66.6
s3;1;2;8.062257748;806;34;-73.4782608695652
s3;1;2;8.062257748;806;35;-72.4059405940594
s3;1;2;8.062257748;806;36;-74.0714285714285
s3;1;2;8.062257748;806;37;-68.7398373983739
s3;1;2;8.062257748;806;38;-61.4052287581699
s3;1;2;8.062257748;806;39;-79.25
s3;1;4;6.08276253;608;0;-71.6521739130434
s3;1;4;6.08276253;608;1;-70.125
s3;1;4;6.08276253;608;2;-67.3333333333333
s3;1;4;6.08276253;608;3;-65.9809523809523
s3;1;4;6.08276253;608;4;-64.0098039215686
s3;1;4;6.08276253;608;5;-62.2857142857142
s3;1;4;6.08276253;608;6;-61.9690721649484
