anchor;x;y;distance;distance_cm;channel;rssi
s1;0;6;11.66190379;1166;0;-67.11627907
s1;0;6;11.66190379;1166;1;-69.95
s1;0;6;11.66190379;1166;2;-75.46153846
s1;0;6;11.66190379;1166;3;-73.01980198
s1;0;6;11.66190379;1166;4;-70.1965812
s1;0;6;11.66190379;1166;5;-69
s1;0;6;11.66190379;1166;6;-68.09803922
s1;0;6;11.66190379;1166;7;-66.72277228
s1;0;6;11.66190379;1166;8;-66.07865169
s1;0;6;11.66190379;1166;9;-64.40366972
s1;0;6;11.66190379;1166;10;-63.7027027
s1;0;6;11.66190379;1166;11;-62.26890756
s1;0;6;11.66190379;1166;12;-62.05940594
s1;0;6;11.66190379;1166;13;-62.13
s1;0;6;11.66190379;1166;14;-63.50485437
s1;0;6;11.66190379;1166;15;-63.71568627
s1;0;6;11.66190379;1166;16;-67.72916667
s1;0;6;11.66190379;1166;17;-67.60674157
s1;0;6;11.66190379;1166;18;-65.68085106
s1;0;6;11.66190379;1166;19;-66.52040816
s1;0;6;11.66190379;1166;20;-71.31
s1;0;6;11.66190379;1166;21;-75.83168317
s1;0;6;11.66190379;1166;22;-73.47916667
s1;0;6;11.66190379;1166;23;-70.29591837
s1;0;6;11.66190379;1166;24;-69.59183673
s1;0;6;11.66190379;1166;25;-69.72340426
s1;0;6;11.66190379;1166;26;-70.09278351
s1;0;6;11.66190379;1166;27;-71.36792453
s1;0;6;11.66190379;1166;28;-75.43529412
s1;0;6;11.66190379;1166;29;-70.67
s1;0;6;11.66190379;1166;30;-67.38666667
s1;0;6;11.66190379;1166;31;-66.66666667
s1;0;6;11.66190379;1166;32;-67.74166667
s1;0;6;11.66190379;1166;33;-72.81818182
s1;0;6;11.66190379;1166;34;-80.14678899
s1;0;6;11.66190379;1166;35;-71.56435644
s1;0;6;11.66190379;1166;36;-67.27731092
s1;0;6;11.66190379;1166;37;-67.18243243
s1;0;6;11.66190379;1166;38;-63.16197183
s1;0;6;11.66190379;1166;39;-66.53691275
s1;0;8;12.80624847;1281;0;-63.02985075
s1;0;8;12.80624847;1281;1;-63.3960396
s1;0;8;12.80624847;1281;2;-63.02380952
s1;0;8;12.80624847;1281;3;-64.68571429
s1;0;8;12.80624847;1281;4;-66
s1;0;8;12.80624847;1281;5;-66.00869565
s1;0;8;12.80624847;1281;6;-66.18181818
s1;0;8;12.80624847;1281;7;-67.38842975
s1;0;8;12.80624847;1281;8;-67.16393443
s1;0;8;12.80624847;1281;9;-63.14754098
s1;0;8;12.80624847;1281;10;-61.87155963
s1;0;8;12.80624847;1281;11;-60.03816794
s1;0;8;12.80624847;1281;12;-60.96747967
s1;0;8;12.80624847;1281;13;-59.984
s1;0;8;12.80624847;1281;14;-59.93442623
s1;0;8;12.80624847;1281;15;-59.77777778
s1;0;8;12.80624847;1281;16;-60.008
s1;0;8;12.80624847;1281;17;-59.8907563
s1;0;8;12.80624847;1281;18;-60.08653846
s1;0;8;12.80624847;1281;19;-61.03278689
s1;0;8;12.80624847;1281;20;-61.99166667
s1;0;8;12.80624847;1281;21;-61.39855072
s1;0;8;12.80624847;1281;22;-61.00900901
